pk_tempo;date_key;invoice_date;invoice_day;invoice_month;invoice_year;quarter
09/07/2018;09/07/2018;11/07/2018;11;07;2018;3
04/02/2019;04/02/2019;06/02/2019;06;02;2019;1
03/09/2018;03/09/2018;05/09/2018;05;09;2018;3
25/02/2019;25/02/2019;27/02/2019;27;02;2019;1
27/05/2018;27/05/2018;29/05/2018;29;05;2018;2
15/11/2017;15/11/2017;17/11/2017;17;11;2017;4
30/08/2017;30/08/2017;01/09/2017;01;09;2017;3
16/01/2017;16/01/2017;19/01/2017;19;01;2017;1
27/11/2017;27/11/2017;29/11/2017;29;11;2017;4
18/01/2017;18/01/2017;21/01/2017;21;01;2017;1
14/01/2019;14/01/2019;16/01/2019;16;01;2019;1
19/06/2018;19/06/2018;21/06/2018;21;06;2018;2
31/03/2018;31/03/2018;02/04/2018;02;04;2018;2
25/02/2018;25/02/2018;27/02/2018;27;02;2018;1
19/12/2017;19/12/2017;21/12/2017;21;12;2017;4
14/06/2017;14/06/2017;16/06/2017;16;06;2017;2
20/03/2017;20/03/2017;22/03/2017;22;03;2017;1
28/08/2017;28/08/2017;30/08/2017;30;08;2017;3
23/07/2018;23/07/2018;25/07/2018;25;07;2018;3
06/04/2017;06/04/2017;08/04/2017;08;04;2017;2
10/09/2018;10/09/2018;12/09/2018;12;09;2018;3
28/09/2017;28/09/2017;30/09/2017;30;09;2017;3
01/08/2017;01/08/2017;03/08/2017;03;08;2017;3
15/03/2019;15/03/2019;18/03/2019;18;03;2019;1
25/12/2017;25/12/2017;27/12/2017;27;12;2017;4
06/03/2017;06/03/2017;08/03/2017;08;03;2017;1
16/02/2017;16/02/2017;19/02/2017;19;02;2017;1
06/08/2018;06/08/2018;08/08/2018;08;08;2018;3
06/07/2017;06/07/2017;08/07/2017;08;07;2017;3
07/05/2018;07/05/2018;09/05/2018;09;05;2018;2
28/01/2019;28/01/2019;30/01/2019;30;01;2019;1
07/03/2017;07/03/2017;09/03/2017;09;03;2017;1
12/11/2018;12/11/2018;14/11/2018;14;11;2018;4
01/12/2018;01/12/2018;03/12/2018;03;12;2018;4
10/03/2018;10/03/2018;12/03/2018;12;03;2018;1
07/07/2017;07/07/2017;09/07/2017;09;07;2017;3
19/01/2018;19/01/2018;21/01/2018;21;01;2018;1
